original,year,events
2007: SB 267 provided an exemption from the CAHSEE requirement for students with disabilities (class of 2007 students only). Intervention Compendium added to CDE's CAHSEE resource page to assist districts with information on aiding first-time test takers. Over $72 million in CAHSEE Intensive Instruction Services Funding was provided to districts for students in grades 12 and 11 who needed to pass CAHSEE.,2007,SB 267 provided an exemption from the CAHSEE requirement for students with disabilities (class of 2007 students only). Intervention Compendium added to CDE's CAHSEE resource page to assist districts with information on aiding first-time test takers. Over $72 million in CAHSEE Intensive Instruction Services Funding was provided to districts for students in grades 12 and 11 who needed to pass CAHSEE.
"2007: 78 percent of students taking grade 11 CST ELA participated in EAP English. 70 percent of students taking Summative High School Mathematics or Algebra II in grade 11 participated in EAP math. First time that individual EAP results were included on the back of the STAR Student Report for the CSTs for students in grade 11, if the student took one or both parts of the voluntary exam.",2007,"78 percent of students taking grade 11 CST ELA participated in EAP English. 70 percent of students taking Summative High School Mathematics or Algebra II in grade 11 participated in EAP math. First time that individual EAP results were included on the back of the STAR Student Report for the CSTs for students in grade 11, if the student took one or both parts of the voluntary exam."
"2007: Adjusted the 2007 Base API to prepare for the addition of the California Modified Assessment (CMA) in ELA and math, grades 2–5, and science, grade 5, into the API. 59 percent of schools increased schoolwide API, and 45 percent of schools met their growth targets. 31 percent of schools at or above the API target of 800.",2007,"Adjusted the 2007 Base API to prepare for the addition of the California Modified Assessment (CMA) in ELA and math, grades 2–5, and science, grade 5, into the API. 59 percent of schools increased schoolwide API, and 45 percent of schools met their growth targets. 31 percent of schools at or above the API target of 800."
2007: 67 percent of all schools and 54 percent of all districts made AYP.,2007,67 percent of all schools and 54 percent of all districts made AYP.
2007: SBE approved new regulations for framework development and instructional-materials adoptions. Mathematics adoption of instructional materials.,2007,SBE approved new regulations for framework development and instructional-materials adoptions. Mathematics adoption of instructional materials.
2007: Reading First program continued. AB 430 administrator training and SB 472 teacher training programs continued. Certificated Staff Mentoring Program continued. California Subject Matter Project continued. BTSA continued. English Language Learners Best Practices program continued.,2007,Reading First program continued. AB 430 administrator training and SB 472 teacher training programs continued. Certificated Staff Mentoring Program continued. California Subject Matter Project continued. BTSA continued. English Language Learners Best Practices program continued.
"2007: The last funded, state-monitored school in II/USP exited the program. HPSGP continued. First cohort of districts advanced to PI Year 3 corrective action and received funding for technical assistance. Some districts were selected to work with a DAIT based on severity and pervasiveness of achievement problems. Quality Education Improvement Act (QEIA) established; funding distributed to eligible schools.",2007,"The last funded, state-monitored school in II/USP exited the program. HPSGP continued. First cohort of districts advanced to PI Year 3 corrective action and received funding for technical assistance. Some districts were selected to work with a DAIT based on severity and pervasiveness of achievement problems. Quality Education Improvement Act (QEIA) established; funding distributed to eligible schools."
"2007: K–12 Proposition 98 funding: $50 billion. Funding per student: $8,464. General Fund support for CDE State Operations: $55 million.",2007,"K–12 Proposition 98 funding: $50 billion. Funding per student: $8,464. General Fund support for CDE State Operations: $55 million."
"2008: First administration of the CMA in grades 3–5 in ELA and mathematics, and in grade 5 science, for students who met the eligibility criteria. SBE adopted proficiency levels for the CMA in grades 3–5 in ELA and mathematics, and in grade 5 in science. SBE adopted CMA blueprints that align with California grade-level content standards for grades 9 and 10 in ELA; for Algebra I; and for grade 10 science.",2008,"First administration of the CMA in grades 3–5 in ELA and mathematics, and in grade 5 science, for students who met the eligibility criteria. SBE adopted proficiency levels for the CMA in grades 3–5 in ELA and mathematics, and in grade 5 in science. SBE adopted CMA blueprints that align with California grade-level content standards for grades 9 and 10 in ELA; for Algebra I; and for grade 10 science."
"2008: CAPA revised to be more closely aligned with selected California content standards for each grade tested. Science added to the CAPA in grades 5, 8, and 10.",2008,"CAPA revised to be more closely aligned with selected California content standards for each grade tested. Science added to the CAPA in grades 5, 8, and 10."
"2008: STS administered in grades 2–4, and first administered in grades 5–7. Aprenda 3 administered in grades 8–11.",2008,"STS administered in grades 2–4, and first administered in grades 5–7. Aprenda 3 administered in grades 8–11."
2008: Eighth annual administration completed. Development of K–1 early literacy assessment began.,2008,Eighth annual administration completed. Development of K–1 early literacy assessment began.
"2008: 2008 budget bill allowed 12th-grade students to take CAHSEE up to five times in 2008–09 school year. Request for Proposals released to study students with disabilities who have met all graduation requirements except for CAHSEE, and to make recommendations to CDE regarding alternative means of assessment for this student population. Over $72 million in CAHSEE Intensive Instruction Services Funding was provided to districts for students in grades 12 and 11 who needed to pass CAHSEE.",2008,"2008 budget bill allowed 12th-grade students to take CAHSEE up to five times in 2008–09 school year. Request for Proposals released to study students with disabilities who have met all graduation requirements except for CAHSEE, and to make recommendations to CDE regarding alternative means of assessment for this student population. Over $72 million in CAHSEE Intensive Instruction Services Funding was provided to districts for students in grades 12 and 11 who needed to pass CAHSEE."
2008: 79 percent of students taking grade 11 CST ELA participated in EAP English. 70 percent of students taking Summative High School Mathematics or Algebra II in grade 11 participated in EAP math.,2008,79 percent of students taking grade 11 CST ELA participated in EAP English. 70 percent of students taking Summative High School Mathematics or Algebra II in grade 11 participated in EAP math.
"2008: Included the CMA for ELA and math for grades 3–5, and for science, grade 5, into the 2008 Base API. Adjusted the 2008 Base API to prepare for the addition of the CMA in ELA, grades 6–8, and mathematics, grades 6 and 7, into the API. 53 percent of schools met all of their growth targets. 36 percent of schools at or above the API target of 800.",2008,"Included the CMA for ELA and math for grades 3–5, and for science, grade 5, into the 2008 Base API. Adjusted the 2008 Base API to prepare for the addition of the CMA in ELA, grades 6–8, and mathematics, grades 6 and 7, into the API. 53 percent of schools met all of their growth targets. 36 percent of schools at or above the API target of 800."
2008: AYP targets increased for all schools and districts. Students who took the California Modified Assessment (CMA) in ELA and math in grades 3–5 were included in the AYP. 52 percent of all schools and 39 percent of all districts made AYP.,2008,AYP targets increased for all schools and districts. Students who took the California Modified Assessment (CMA) in ELA and math in grades 3–5 were included in the AYP. 52 percent of all schools and 39 percent of all districts made AYP.
2008: Physical education framework approved. Health education standards approved. RLA and English-language development adoption of instructional materials.,2008,Physical education framework approved. Health education standards approved. RLA and English-language development adoption of instructional materials.
2008: Reading First program continued; special education component added. AB 430 administrator training and SB 472 teacher training programs continued. Certificated Staff Mentoring Program continued. California Subject Matter Project continued. BTSA continued. English Language Learners Best Practices program continued.,2008,Reading First program continued; special education component added. AB 430 administrator training and SB 472 teacher training programs continued. Certificated Staff Mentoring Program continued. California Subject Matter Project continued. BTSA continued. English Language Learners Best Practices program continued.
2008: HPSGP funding added to categorical flexibility spending program. Funds can be used for any educational purpose. First cohort of districts not meeting federal student achievement targets advanced to PI Year 3+. QEIA funding distributed to eligible schools. Federal School Improvement Grant (SIG) program funds distributed to eligible schools in QEIA and PI.,2008,HPSGP funding added to categorical flexibility spending program. Funds can be used for any educational purpose. First cohort of districts not meeting federal student achievement targets advanced to PI Year 3+. QEIA funding distributed to eligible schools. Federal School Improvement Grant (SIG) program funds distributed to eligible schools in QEIA and PI.
"2008: K–12 Proposition 98 funding: $43 billion. Funding per student: $7,227. General Fund support for CDE State Operations: $48 million.",2008,"K–12 Proposition 98 funding: $43 billion. Funding per student: $7,227. General Fund support for CDE State Operations: $48 million."
2009: NRT eliminated.,2009,NRT eliminated.
"2009: CMA ELA added in grades 6–8, mathematics grades 6 and 7, and science grade 8. First administered the CMA writing test for students in grades 4 and 7 taking the CMA ELA test. SBE adopted proficiency levels for the CMA in grades 6–8 ELA, grades 6 and 7 mathematics, and grade 8 science. SBE adopted blueprints that align with California grade-level content standards for grade 11 ELA and geometry.",2009,"CMA ELA added in grades 6–8, mathematics grades 6 and 7, and science grade 8. First administered the CMA writing test for students in grades 4 and 7 taking the CMA ELA test. SBE adopted proficiency levels for the CMA in grades 6–8 ELA, grades 6 and 7 mathematics, and grade 8 science. SBE adopted blueprints that align with California grade-level content standards for grade 11 ELA and geometry."
"2009: STS administered in grades 2–7, and first administered in grades 8–11. SBE adopted performance levels for the RLA and mathematics in grades 2–4. Aprenda 3 discontinued and replaced by the STS.",2009,"STS administered in grades 2–7, and first administered in grades 8–11. SBE adopted performance levels for the RLA and mathematics in grades 2–4. Aprenda 3 discontinued and replaced by the STS."
2009: Ninth annual administration completed. K–1 reading and writing operational for the first time.,2009,Ninth annual administration completed. K–1 reading and writing operational for the first time.
"2009: Over $58 million in CAHSEE Intensive Instruction Services funding was provided to districts for students in grades 12 and 11 who needed to pass CAHSEE. Funding for CAHSEE remediation based on participation in 2008–09 and added to categorical flexibility program. Budget bill provided an exemption from meeting the CAHSEE requirement as a condition for receiving a diploma—for eligible students with disabilities, class of 2009–10.",2009,"Over $58 million in CAHSEE Intensive Instruction Services funding was provided to districts for students in grades 12 and 11 who needed to pass CAHSEE. Funding for CAHSEE remediation based on participation in 2008–09 and added to categorical flexibility program. Budget bill provided an exemption from meeting the CAHSEE requirement as a condition for receiving a diploma—for eligible students with disabilities, class of 2009–10."
2009: 82 percent of students taking grade 11 CST ELA participated in EAP English. 77 percent of students taking Summative High School Mathematics or Algebra II in grade 11 participated in EAP math.,2009,82 percent of students taking grade 11 CST ELA participated in EAP English. 77 percent of students taking Summative High School Mathematics or Algebra II in grade 11 participated in EAP math.
"2009: Added the CMA in ELA and math for grades 3–5, and in science, grade 5, into the 2009 Growth API. Added the CMA in ELA in grades 6–8; in math, grades 6 and 7; and in science, grade 8, into the 2009 Base API. Adjusted the 2009 Base API to prepare for the addition of the CMA in ELA, grade 9; Algebra I; and life science, grade 10. 58 percent of all schools met API growth targets. 42 percent of schools at or above the API target of 800.",2009,"Added the CMA in ELA and math for grades 3–5, and in science, grade 5, into the 2009 Growth API. Added the CMA in ELA in grades 6–8; in math, grades 6 and 7; and in science, grade 8, into the 2009 Base API. Adjusted the 2009 Base API to prepare for the addition of the CMA in ELA, grade 9; Algebra I; and life science, grade 10. 58 percent of all schools met API growth targets. 42 percent of schools at or above the API target of 800."
"2009: AYP targets increased for all schools and districts. Students who took the CMA in ELA, grades 6–8, and math, grades 6 and 7, were included in the AYP for the first time. 51 percent of all schools and 36 percent of all districts made AYP.",2009,"AYP targets increased for all schools and districts. Students who took the CMA in ELA, grades 6–8, and math, grades 6 and 7, were included in the AYP for the first time. 51 percent of all schools and 36 percent of all districts made AYP."
2009: World language standards approved. State Budget Act suspended curriculum-frameworks development and instructional-materials adoption until 2013.,2009,World language standards approved. State Budget Act suspended curriculum-frameworks development and instructional-materials adoption until 2013.
"2009: All state-funded teacher and principal training programs added to categorical flexibility spending program, including Reading First, BTSA, AB 430, SB 472,and Certificated Staff Mentoring program. Funding can be used for any educational purpose. California Subject Matter Project continued. English Language Learners Best Practices program continued.",2009,"All state-funded teacher and principal training programs added to categorical flexibility spending program, including Reading First, BTSA, AB 430, SB 472,and Certificated Staff Mentoring program. Funding can be used for any educational purpose. California Subject Matter Project continued. English Language Learners Best Practices program continued."
2009: HPSGP program ended. First cohort of schools and districts not meeting federal student achievement targets advanced to PI Year 5. QEIA funding distributed to eligible schools. Federal SIG program funds distributed to eligible schools in QEIA and PI.,2009,HPSGP program ended. First cohort of schools and districts not meeting federal student achievement targets advanced to PI Year 5. QEIA funding distributed to eligible schools. Federal SIG program funds distributed to eligible schools in QEIA and PI.
2009: K–3 CSR program closed to new entrants; participation capped at 2008–09 funding levels. High School CSR closed to new entrants; participation capped at 2007–08 funding levels. CSR funding added to categorical flexibility spending program and can be used for any educational purpose.,2009,K–3 CSR program closed to new entrants; participation capped at 2008–09 funding levels. High School CSR closed to new entrants; participation capped at 2007–08 funding levels. CSR funding added to categorical flexibility spending program and can be used for any educational purpose.
"2009: K–12 Proposition 98 funding: $44 billion. Funding per student: $7,391. General Fund support for CDE State Operations: $36 million.",2009,"K–12 Proposition 98 funding: $44 billion. Funding per student: $7,391. General Fund support for CDE State Operations: $36 million."
"2010: CMA ELA added in grade 9, Algebra I, and life science grade 10. SBE is in the process of adopting proficiency levels for grade 9 in ELA and for Algebra I.",2010,"CMA ELA added in grade 9, Algebra I, and life science grade 10. SBE is in the process of adopting proficiency levels for grade 9 in ELA and for Algebra I."
"2010: SBE adopted performance levels for the STS in RLA and mathematics in grades 5, 6, and 7.",2010,"SBE adopted performance levels for the STS in RLA and mathematics in grades 5, 6, and 7."
2010: SBE approved performance levels for K–1. The definition of the English-proficient level on the CELDT was updated for K–1.,2010,SBE approved performance levels for K–1. The definition of the English-proficient level on the CELDT was updated for K–1.
"2010: For eligible students with disabilities, SBE extended through July 1, 2012, the exemption from meeting the CAHSEE requirement as a condition for receiving a diploma.",2010,"For eligible students with disabilities, SBE extended through July 1, 2012, the exemption from meeting the CAHSEE requirement as a condition for receiving a diploma."
2010: 84 percent of students taking grade 11 CST ELA participated in EAP English. 77 percent of students taking Summative High School Mathematics or Algebra II in grade 11 participated in EAP math. SB 946 authorized participation of California Community Colleges (CCC) in EAP results. The 2010 testing will be made available to the CCC.,2010,84 percent of students taking grade 11 CST ELA participated in EAP English. 77 percent of students taking Summative High School Mathematics or Algebra II in grade 11 participated in EAP math. SB 946 authorized participation of California Community Colleges (CCC) in EAP results. The 2010 testing will be made available to the CCC.
"2010: Added the CAPA results for science in grades 5, 8, and 10 into the 2010 Growth API. Added the CMA in ELA, grades 6–8; math, grades 6 and 7; and science, grade 8, into the 2010 Growth API. Added the CMA in ELA, grade 9; Algebra I, grades 7–11; and life science, grade 10, into the 2010 Base API. Adjusted the 2010 Base API to prepare for the addition of the CMA in ELA, grades 10 and 11, and in geometry. 57 percent of all schools made API growth targets. 46 percent of schools at or above the API target of 800.",2010,"Added the CAPA results for science in grades 5, 8, and 10 into the 2010 Growth API. Added the CMA in ELA, grades 6–8; math, grades 6 and 7; and science, grade 8, into the 2010 Growth API. Added the CMA in ELA, grade 9; Algebra I, grades 7–11; and life science, grade 10, into the 2010 Base API. Adjusted the 2010 Base API to prepare for the addition of the CMA in ELA, grades 10 and 11, and in geometry. 57 percent of all schools made API growth targets. 46 percent of schools at or above the API target of 800."
2010: AYP targets increased for all schools and districts. Students who took the CMA in Algebra I in grades 7 and 8 were included in the AYP for the first time.,2010,AYP targets increased for all schools and districts. Students who took the CMA in Algebra I in grades 7 and 8 were included in the AYP for the first time.
2010: Library standards approved. Common Core Standards approved for ELA and math. Model curriculum for Education and the Environment approved.,2010,Library standards approved. Common Core Standards approved for ELA and math. Model curriculum for Education and the Environment approved.
2010: All state-funded teacher and principal training programs remain in categorical flexibility spending program. California Subject Matter Project continued. English Language Learners Best Practices program ended.,2010,All state-funded teacher and principal training programs remain in categorical flexibility spending program. California Subject Matter Project continued. English Language Learners Best Practices program ended.
2010: First cohort of schools and districts not meeting federal student achievement targets remain in PI Year 5. QEIA funding distributed to eligible schools. Federal SIG funds distributed to schools defined as persistently lowest-achieving.,2010,First cohort of schools and districts not meeting federal student achievement targets remain in PI Year 5. QEIA funding distributed to eligible schools. Federal SIG funds distributed to schools defined as persistently lowest-achieving.
2010: CSR funding remains in categorical flexibility spending program.,2010,CSR funding remains in categorical flexibility spending program.
"2010: K–12 Proposition 98 funding: $44 billion. Funding per student: $7,342. General Fund support for CDE State Operations: $33 million.",2010,"K–12 Proposition 98 funding: $44 billion. Funding per student: $7,342. General Fund support for CDE State Operations: $33 million."
